timestamp,sentiment,comment
2025-04-14 23:35:41,negative,Bullpen gave up the lead late.
2025-04-14 23:40:41,negative,Poor communication in the field.
2025-04-14 23:45:41,negative,Couldn't get the bats going.
2025-04-14 23:50:41,positive,Outstanding play by the outfield.
2025-04-14 23:55:41,negative,Pitching struggled from the start.
2025-04-15 00:00:41,positive,Solid defense all around.
2025-04-15 00:05:41,negative,Too many strikeouts with runners on base.
2025-04-15 00:10:41,negative,Missed opportunities on offense.
2025-04-15 00:15:41,negative,Too many strikeouts with runners on base.
2025-04-15 00:20:41,negative,Lack of hustle in key moments.
2025-04-15 00:25:41,negative,Couldn't get the bats going.
2025-04-15 00:30:41,negative,Missed opportunities on offense.
2025-04-15 00:35:41,positive,Outstanding play by the outfield.
2025-04-15 00:40:41,negative,Too many strikeouts with runners on base.
2025-04-15 00:45:41,negative,Bullpen gave up the lead late.
2025-04-15 00:50:41,negative,Defense let them down today.
2025-04-15 00:55:41,positive,Timely home runs helped secure the win.
2025-04-15 01:00:41,negative,Pitching struggled from the start.
2025-04-15 01:05:41,negative,Couldn't get the bats going.
2025-04-15 01:10:41,positive,Bullpen shut it down perfectly.
2025-04-15 01:15:41,negative,Lack of hustle in key moments.
2025-04-15 01:20:41,negative,Missed opportunities on offense.
2025-04-15 01:25:41,positive,Clutch hitting in the late innings.
2025-04-15 01:30:41,negative,Too many strikeouts with runners on base.
2025-04-15 01:35:41,positive,Clutch hitting in the late innings.
2025-04-15 01:40:41,positive,Solid defense all around.
2025-04-15 01:45:41,negative,Manager's decisions were questionable.
2025-04-15 01:50:41,negative,Lack of hustle in key moments.
2025-04-15 01:55:41,positive,Manager made great strategic decisions.
2025-04-15 02:00:41,negative,Defense let them down today.
2025-04-15 02:05:41,negative,Missed opportunities on offense.
2025-04-15 02:10:41,positive,Great pitching performance by the Red Sox.
2025-04-15 02:15:41,positive,Great team chemistry on display.
2025-04-15 02:20:41,positive,Great pitching performance by the Red Sox.
2025-04-15 02:25:41,negative,Lack of hustle in key moments.
2025-04-15 02:30:41,negative,Missed opportunities on offense.
2025-04-15 02:35:41,positive,Outstanding play by the outfield.
2025-04-15 02:40:41,positive,Great team chemistry on display.
2025-04-15 02:45:41,negative,Untimely errors cost them the game.
2025-04-15 02:50:41,positive,Offense really came alive today.
2025-04-15 02:55:41,negative,Poor communication in the field.
2025-04-15 03:00:41,negative,Manager's decisions were questionable.
2025-04-15 03:05:41,negative,Defense let them down today.
2025-04-15 03:10:41,negative,Lack of hustle in key moments.
2025-04-15 03:15:41,negative,Too many strikeouts with runners on base.
2025-04-15 03:20:41,positive,Clutch hitting in the late innings.
2025-04-15 03:25:41,negative,Too many strikeouts with runners on base.
2025-04-15 03:30:41,positive,Timely home runs helped secure the win.
2025-04-15 03:35:41,positive,Bullpen shut it down perfectly.
2025-04-15 03:40:41,negative,Poor communication in the field.
2025-04-15 03:45:41,positive,Timely home runs helped secure the win.
2025-04-15 03:50:41,positive,Solid defense all around.
2025-04-15 03:55:41,negative,Bullpen gave up the lead late.
2025-04-15 04:00:41,positive,Manager made great strategic decisions.
2025-04-15 04:05:41,negative,Couldn't get the bats going.
2025-04-15 04:10:41,positive,Smart base running led to extra runs.
2025-04-15 04:15:41,positive,Clutch hitting in the late innings.
2025-04-15 04:20:41,negative,Manager's decisions were questionable.
2025-04-15 04:25:41,positive,Bullpen shut it down perfectly.
2025-04-15 04:30:41,negative,Poor communication in the field.
2025-04-15 04:35:41,negative,Poor communication in the field.
2025-04-15 04:40:41,positive,Offense really came alive today.
2025-04-15 04:45:41,positive,Great team chemistry on display.
2025-04-15 04:50:41,positive,Great pitching performance by the Red Sox.
2025-04-15 04:55:41,negative,Couldn't get the bats going.
2025-04-15 05:00:41,positive,Great pitching performance by the Red Sox.
2025-04-15 05:05:41,positive,Manager made great strategic decisions.
2025-04-15 05:10:41,negative,Missed opportunities on offense.
2025-04-15 05:15:41,negative,Lack of hustle in key moments.
2025-04-15 05:20:41,positive,Solid defense all around.
2025-04-15 05:25:41,negative,Too many strikeouts with runners on base.
2025-04-15 05:30:41,negative,Pitching struggled from the start.
2025-04-15 05:35:41,negative,Too many strikeouts with runners on base.
2025-04-15 05:40:41,positive,Bullpen shut it down perfectly.
2025-04-15 05:45:41,negative,Couldn't get the bats going.
2025-04-15 05:50:41,positive,Great pitching performance by the Red Sox.
2025-04-15 05:55:41,positive,Solid defense all around.
2025-04-15 06:00:41,negative,Manager's decisions were questionable.
2025-04-15 06:05:41,positive,Smart base running led to extra runs.
2025-04-15 06:10:41,negative,Missed opportunities on offense.
2025-04-15 06:15:41,negative,Untimely errors cost them the game.
2025-04-15 06:20:41,positive,Clutch hitting in the late innings.
2025-04-15 06:25:41,positive,Bullpen shut it down perfectly.
2025-04-15 06:30:41,positive,Manager made great strategic decisions.
2025-04-15 06:35:41,positive,Solid defense all around.
2025-04-15 06:40:41,negative,Bullpen gave up the lead late.
2025-04-15 06:45:41,negative,Missed opportunities on offense.
2025-04-15 06:50:41,negative,Untimely errors cost them the game.
2025-04-15 06:55:41,positive,Great pitching performance by the Red Sox.
2025-04-15 07:00:41,negative,Defense let them down today.
2025-04-15 07:05:41,negative,Couldn't get the bats going.
2025-04-15 07:10:41,positive,Manager made great strategic decisions.
2025-04-15 07:15:41,negative,Too many strikeouts with runners on base.
2025-04-15 07:20:41,positive,Solid defense all around.
2025-04-15 07:25:41,positive,Clutch hitting in the late innings.
2025-04-15 07:30:41,positive,Timely home runs helped secure the win.
2025-04-15 07:35:41,negative,Couldn't get the bats going.
2025-04-15 07:40:41,positive,Solid defense all around.
2025-04-15 07:45:41,negative,Couldn't get the bats going.
2025-04-15 07:50:41,positive,Clutch hitting in the late innings.
